id,bene,libro,provincia,comune,compilazione,href,categoria
77,Presepe Semovente di Giacomo Randazzo,REI - Libro delle celebrazioni,Palermo,Cinisi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/104,Tecnica artigiana
78,Rito delle Cento Onze,REI - Libro delle celebrazioni,Palermo,Palermo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/57,Festa/Cerimonia
79,Carnevale,REI - Libro delle celebrazioni,Palermo,Termini Imerese,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/64,Festa
80,Sacre Rappresentazioni della Settimana Santa,REI - Libro delle celebrazioni,Palermo,Capaci,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/49,Festa pasquale
81,Mostra-Mercato del Cavallo Sanfratellano,REI - Libro delle celebrazioni,Messina,San Fratello,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/45,Rappresentazione/Spettacolo;Mostra-mercato
82,Campus Etno-Antropologico-Naturalistico Padre Bernardino,REI - Libro delle celebrazioni,Messina,Ucria,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/48,Celebrazione
83,Festa di Maria Santissima Addolorata,REI - Libro delle celebrazioni,Siracusa,Palazzolo Acreide,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/76,Festa/Cerimonia
84,Festa di San Paolo Apostolo,REI - Libro delle celebrazioni,Siracusa,Palazzolo Acreide,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/77,Festa patronale
85,Festa di San Michele,REI - Libro delle celebrazioni,Siracusa,Palazzolo Acreide,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/78,Festa/Cerimonia
86,Festa di San Sebastiano Martire,REI - Libro delle celebrazioni,Siracusa,Palazzolo Acreide,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/79,Festa patronale
87,Festa di Sant'Erasmo,REI - Libro delle celebrazioni,Palermo,Capaci,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/50,Festa/Cerimonia
88,Festa del Santissimo Crocifisso,REI - Libro delle celebrazioni,Palermo,Monreale,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/188,Festa/Cerimonia
89,Festa dell'Immacolata,REI - Libro delle celebrazioni,Palermo,Termini Imerese,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/65,Festa patronale
90,Maria Grazia Ricotta: Ricamatrice,REI - Libro dei tesori umani viventi,Palermo,Alia,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/167,Tesoro umano vivente
91,Antonella Ditta: Tessitrice,REI - Libro dei tesori umani viventi,Palermo,Alia,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/168,Tesoro umano vivente
92,Mariano Armanno: Panararu,REI - Libro dei tesori umani viventi,Palermo,Alia,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/169,Tesoro umano vivente
93,Angelo Centanni: Vardiddaru,REI - Libro dei tesori umani viventi,Palermo,Alia,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/170,Tesoro umano vivente
94,Festa Maria Santissima degli Ammalati,REI - Libro delle celebrazioni,Catania,Misterbianco,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/15,Festa/Cerimonia
95,Mastro di Campo,REI - Libro delle celebrazioni,Palermo,Mezzojuso,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/54,Festa/Cerimonia
96,Vampata di San Giuseppe,REI - Libro delle celebrazioni,Palermo,Palermo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/58,Festa/Cerimonia
97,Pranzo delle Verginelle,REI - Libro delle celebrazioni,Catania,Motta Sant'Anastasia,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/17,Festa/Cerimonia
98,Festa di Sant'Antonio Abate,REI - Libro delle celebrazioni,Catania,Misterbianco,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/16,Festa patronale
99,Rappresentazione del Venerdì Santo,REI - Libro delle celebrazioni,Ragusa,Vittoria,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/74,Rappresentazione/Spettacolo
100,Festa Santa Anastasia,REI - Libro delle celebrazioni,Catania,Motta Sant'Anastasia,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/18,Festa patronale
101,Arte Etnoplastica di Roberto Vanadia,REI - Libro dei saperi,Agrigento,Agrigento,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/119,Tecnica artigiana
102,Festa di San Giuseppe,REI - Libro delle celebrazioni,Trapani,Poggioreale,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/83,Festa/Cerimonia
103,Cena di San Giuseppe,REI - Libro delle celebrazioni,Ragusa,Santa Croce Camerina,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/68,Festa patronale
104,Festa del Bimartire San Sebastiano,REI - Libro delle celebrazioni,Messina,Tortorici,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/47,Festa patronale
