id,bene,libro,provincia,comune,compilazione,href,categoria
196,Festa patronale di San Giorgio martire,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Ragusa,Ragusa,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/197,Festa patronale
197,Lamenti della Settimana Santa di Mussomeli,REI - Libro delle celebrazioni,Caltanissetta,Mussomeli,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/198,Repertori polivocali
198,"Vito Fulco - Pittore su vetro, artista",REIS - Libro dei Tesori Umani Viventi,Trapani,Alcamo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/199,Tesoro umano vivente
199,Lingua arbëreshë,REIS - Libro delle Pratiche Espressive e dei Repertori Orali,Palermo,Piana degli Albanesi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/200,Pratica espressiva
200,Coltello Bisacquinese,"REIS - Libro dei Mestieri, dei Saperi e delle Tecniche",Palermo,Bisacquino,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/201,Tecnica artigiana
201,Luoghi letterari e cinematografici di Montalbano,REIS - Libro degli Spazi Simbolici,Ragusa,Ragusa,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/202,Spazi simbolici
202,Presepe Vivente di Custonaci,REI - Libro delle espressioni,Trapani,Custonaci,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/207,rappresentazione/spettacolo
203,Portella della Ginestra,REI - Libro delle celebrazioni,Palermo,Piana degli Albanesi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/208,Commemorazione
204,Pietro Bongiorno: Amanuense,REIS - Libro dei Tesori Umani Viventi,Palermo,Gangi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/209,saperi
205,la Casazza di Nicosia,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Enna,Nicosia,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/210,rappresentazione/spettacolo
206,Gaetano Russo : scultore/scalpellino,REIS - Libro dei Tesori Umani Viventi,Messina,Mistretta,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/211,tecniche
207,Carnevale di Sciacca,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Agrigento,Sciacca,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/212,Festa
208,Mimmo Cuticchio,REI - Libro dei tesori umani viventi,Palermo,Palermo,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/216,Tesoro umano vivente
209,Festa di Santa Lucia,REI - Libro delle celebrazioni,Catania,Belpasso,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/217,Processioni rituali
210,Mostarda di fico d'India,"REIS - Libro dei Mestieri, dei Saperi e delle Tecniche",Catania,Militello in Val di Catania,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/218,Prodotto tipico locale
211,Settimana Santa di Caltagirone,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Catania,Caltagirone,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/219,Celebrazione e pratica rituale
212,Pesca delle rane di Paternò,"REIS - Libro dei Mestieri, dei Saperi e delle Tecniche",Catania,Paterno',No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/220,tecniche
213,Festa della Madonna neve di Giarratana,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Ragusa,Ragusa,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/221,Festa patronale
214,Nonò Salamone,REIS - Libro dei Tesori Umani Viventi,Caltanissetta,Sutera,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/222,saperi
215,Gozzo siracusano,"REIS - Libro dei Mestieri, dei Saperi e delle Tecniche",Siracusa,Siracusa,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/223,tecniche
216,Festa di San Francesco di Paola,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Palermo,Palermo,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/224,festa/cerimonia
217,Spazio simbolico della Rocca di Cerere,REIS - Libro degli Spazi Simbolici,Enna,Enna,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/225,Spazi simbolici
218,Settimana Santa di Corleone,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Palermo,Corleone,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/226,Celebrazioni
219,farm Cultural Park,REIS - Libro degli Spazi Simbolici,Agrigento,Favara,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/227,Rappresentazione/Spettacolo
220,Festino di santa Rosalia,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Palermo,Palermo,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/228,Festa patronale
221,"Carnevale cattafese. ""a maschira""","REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,San Filippo del Mela,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/229,festa/cerimonia
222,Cappidduzzu di Maria,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Monforte San Giorgio,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/230,Celebrazione e pratica rituale
223,Festa della berrettella,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Milazzo,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/231,Celebrazione e pratica rituale
224,Mandorlo in fiore,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Agrigento,Agrigento,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/232,festa/cerimonia
225,Salvatore Martino Rodolico,REIS - Libro dei Tesori Umani Viventi,Catania,Aci Castello,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/233,Tecnica artigiana
226,Rosa Balistreri,REIS - Libro delle Pratiche Espressive e dei Repertori Orali,Agrigento,Licata,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/234,musica vocale-strumentale
227,Katabba,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Monforte San Giorgio,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/235,Celebrazione e pratica rituale
228,Riti della Settimana Santa,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Caltanissetta,Riesi,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/236,seleziona
229,Parlata del gallo Italico,"REIS - Libro dei Dialetti, delle Parlate e dei Gerghi",Messina,Novara di Sicilia,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/237,Parlata
230,Festa di Sant'Agata,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Catania,Catania,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/238,Celebrazione e pratica rituale
231,Risveglio Camarinese,REIS - Libro delle Pratiche Espressive e dei Repertori Orali,Ragusa,Santa Croce Camerina,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/239,Espressione musicale
232,Corsa di San Leoluca,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Palermo,Corleone,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/240,Processioni rituali
233,Festa di San Giacomo,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Capizzi,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/241,Festa patronale
234,Festa di Sant'Antonio Abate,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Catania,Pedara,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/242,Festa patronale
235,Navigata di terra dei Santi Cosma e Damiano,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Palermo,Palermo,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/243,Festa/Cerimonia
236,Festa di San Bartolomeo Apostolo,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Lipari,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/244,Festa patronale
237,Festa di San Bartolomeo Apostolo,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Ragusa,Giarratana,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/245,Festa patronale
238,U lamentu,REIS - Libro delle Pratiche Espressive e dei Repertori Orali,Siracusa,Canicattini Bagni,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/246,Canto religioso
239,Rievocazione storica della sfilata dell'orso e della Corte principesca,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Saponara,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/247,Festa
240,festa delle Barette,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Messina,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/248,Celebrazione
241,"processione notturna ""a Mmaculatedda""","REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Palermo,Trabia,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/249,Processioni rituali
242,Festa della madonna della Lettera,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Itala,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/250,Processioni rituali
243,Spiaggia di Portinente,REIS - Libro degli Spazi Simbolici,Messina,Lipari,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/251,Spazi simbolici
244,manifestazioni laiche e religiose durante la Settimana Santa a Lipari,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Lipari,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/252,Celebrazioni
245,Festa patronale della Madonna della Milicia,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Palermo,Altavilla Milicia,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/253,Festa patronale
246,"Mille tavolette ex voto del Santuario dei Santi Alfio, Fidelio e Cirino","REIS - Libro dei Mestieri, dei Saperi e delle Tecniche",Catania,Trecastagni,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/254,tecniche
247,don Peppino Catalfamo detto il Magnifico,REIS - Libro dei Tesori Umani Viventi,Messina,Castroreale,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/255,Saperi
248,Settimana Santa a Ragusa Ibla,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Ragusa,Ragusa,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/256,Celebrazione e pratica rituale
249,Festa dell'Assunta,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Novara di Sicilia,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/257,Celebrazione e pratica rituale
250,Acchianata d'a Madonna,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Tusa,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/258,Celebrazioni
251,Arte organaria dei fratelli Cimino,"REIS - Libro dei Mestieri, dei Saperi e delle Tecniche",Agrigento,Agrigento,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/259,Tecnica artigiana
252,Carnevale Regalbutese,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Enna,Regalbuto,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/260,Carnevale
253,Festa di San Nicola,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Messina,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/261,Festa patronale
254,Costumi tradizionali femminili della comunità albofona di Piana degli Albanesi,"REIS - Libro dei Mestieri, dei Saperi e delle Tecniche",Palermo,Piana degli Albanesi,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/262,Tecnica artigiana
255,Festa di San Vito martire e Processione dell'Alloro,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Enna,Regalbuto,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/263,Festa patronale
256,Festa di Santa Venera di Acireale,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Catania,Acireale,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/264,Festa patronale
